,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.6222222222222222,4095263,306065,0.05,1.3707092500693798,0.5856189867016734,0.7014000116087968,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4222222222222222,4095263,306065,1.6763444390814308,0.1666755561248674,0.2960750368002864,2.0382457741561546,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.6888888888888889,4095263,306065,0.05015615894712072,1.1295614014907278,0.3488424290324353,2.1455114501194075,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.3111111111111111,4095263,306065,1.4710908569344134,0.20301832546633186,0.3257270349001102,1.3142198640450762,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4,6945263,200156,0.05,0.34966568138820553,0.7266616061758048,0.20537920458309866,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.26666666666666666,6945263,200156,0.05,0.0,0.05,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.37777777777777777,6945263,200156,1.5630248979093078,0.14695280155321336,0.05,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.3333333333333333,6945263,200156,0.05,0.3608027001246484,0.6812085579652833,0.265923208186474,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.8222222222222222,9548713,406925,0.05,15.0,0.8393728625296714,0.04242176020595667,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.5777777777777777,9548713,406925,0.05,0.14983821069126302,1.2560784115211956,1.2850877747728282,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.8,9548713,406925,0.07608099708160936,3.1033788670956497,0.7568348205911951,0.17686497119825978,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4222222222222222,9548713,406925,0.05,0.0,0.05,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.4222222222222222,1055006,200213,0.05,0.0,0.05,0.0,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.5555555555555556,1055006,200213,0.05,15.0,0.8288115206961321,0.006747862912316815,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.8222222222222222,1055006,200213,0.05,0.21835642859050933,0.9038902579044704,0.3495773815101977,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp-lossave_Fix,0.2,1055006,200213,0.05,0.20414619551951768,0.8966545340377277,0.5147614938281426,CV_LearningParams_Fit_alpha-beta-exp-lossave_Fix_
