,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.7777777777777778,9881971,100185,0.08399839379015588,1.0580070641576085,0.1277831021053666,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.2888888888888889,9881971,100185,0.05743451352037751,1.9565687317168727,0.05,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.2888888888888889,9881971,100185,1.9466835976823116,0.19760098404971574,0.051225176310587435,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.5333333333333333,9881971,100185,0.5871553936164831,0.3017299799014969,0.21304606932014136,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.5333333333333333,6618319,200162,0.05,0.4812510458689884,0.35279877482427113,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.2888888888888889,6618319,200162,2.0,0.13024434963567316,0.14199364582606525,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.5111111111111111,6618319,200162,2.0,0.032416493075373,0.2098158411083775,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.4222222222222222,6618319,200162,0.05,0.645202248536745,0.3569387305113061,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.17777777777777778,6633768,310949,0.05,0.0,0.05,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_Fix_lossave,0.4222222222222222,6633768,310949,1.8657968533319564,0.06763607049129611,0.4192486539862199,1.0,CV_LearningParams_Fit_alpha-beta-exp_Fix_lossave_
