,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.2,3509773,406989,0.4597991709480113,0.10813288433288028,0.7365088137974141,0.5020102760955937,0.17300496762613915,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5333333333333333,3509773,406989,1.1082812116543368,0.03297338036641144,0.6051457572999361,0.6260551072018726,1.4828775770346885,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6444444444444445,3509773,406989,0.05,13.357047296350622,0.8302463009423353,0.3992059807311327,0.007949137878895335,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6888888888888889,3509773,406989,0.7361151304445938,0.0449233594661193,0.5110713823575527,0.7035171848530927,2.6344360957437303,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4,1880096,311760,0.05,0.6699575830077081,0.5474835100847399,0.6101755028837066,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.8666666666666667,1880096,311760,0.7870443223009818,0.07401655829484431,0.3760481484038349,0.60287843417635,8.302038108114013,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4222222222222222,1880096,311760,2.0,0.09832142708892357,0.07918286296765356,0.2964260205626748,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4222222222222222,1880096,311760,0.05,14.98704240977591,0.406544980392026,0.2733134188799286,0.5359300175864857,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5111111111111111,7461874,200166,0.05,0.7268950500959127,0.4983215104813201,0.7508169227222168,1.2689635603332738,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,7461874,200166,0.5145484905203794,0.13095498766028751,0.4989280345690909,0.6431518955099305,0.6088033134984271,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4,7461874,200166,0.11574846069367994,0.397031540323762,0.7367539235771248,0.6600850365201429,0.16012821378764233,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5555555555555556,7461874,200166,1.1197169357265204,0.09835968270942083,0.27590884754993483,0.5508975734223605,1.4857314329522382,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.7555555555555555,4573147,200085,0.05,2.2381856268016453,0.05,0.18502771594657413,0.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6888888888888889,4573147,200085,0.05,1.0463392827977298,0.05,0.3670814705965794,2.6541460305180764,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.7333333333333333,4573147,200085,0.05,2.119923066766532,0.05,0.20975251740061335,0.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.7111111111111111,4573147,200085,0.05,1.4185975435731586,0.05,0.3734707461969978,0.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.7555555555555555,5798011,405027,0.34068067417925674,0.1980610449272532,0.11842968085710172,0.5246030728734016,5.823777180012349,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4222222222222222,5798011,405027,0.05,0.2015090589418901,0.4270609788504812,0.7038722935790123,2.773802881778,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6,5798011,405027,0.4359011047092932,0.4629958778075165,0.0748670588987505,0.20715459537498446,0.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6444444444444445,5798011,405027,0.05,0.023224845090310267,1.252420019075208,1.7812250124372746,0.4819601394142817,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,2731638,200168,0.05,1.495579461685976,0.05,0.1580717486493002,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6,2731638,200168,0.26559341489903193,0.4630138344544335,0.1991870435211774,0.19743712699345084,2.0338325537405577,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.7111111111111111,2731638,200168,0.05043832522946207,4.195700362552545,0.1212616814213762,0.12322864506788615,1.6076848358912967,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,2731638,200168,0.0951257535678434,1.242538396233914,0.05,0.05,1.3181793083988738,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.37777777777777777,8735612,311047,0.42476902524352383,0.6768754577571425,0.374953656504973,0.37672656311721786,0.21186880674806727,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.37777777777777777,8735612,311047,1.4136048466534985,0.09939822156279736,0.3337464021106412,0.4725769557494097,1.8461672967930651,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.37777777777777777,8735612,311047,0.8539057168485206,0.1547111444781681,0.5432871478115251,0.5399571758379879,0.12927796652506546,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.8444444444444444,8735612,311047,2.0,0.16494934538837025,0.4315356116341986,0.5932865735036121,0.23245910000693135,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.2222222222222222,2063706,100185,0.05,2.574919494980296,0.2616642155810778,0.05,0.590305183700582,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.37777777777777777,2063706,100185,0.2807992924451076,15.0,0.3802810289920529,0.19749456249768613,0.018059302501348955,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.3333333333333333,2063706,100185,0.05,8.68646689103972,0.363809440332842,0.12058500207339325,0.11748525860184116,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.2888888888888889,2063706,100185,0.26143366549120184,3.134647401739193,0.2810035509949749,0.05,0.06694161792058961,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,5160757,200213,0.15578839093862898,0.06199106364816141,0.626116655163975,0.9047735938911896,3.567124610503884,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.7111111111111111,5160757,200213,0.12876926412574954,0.03599093322090113,1.0723140184028073,1.5658198553794265,0.6572564168037787,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4,5160757,200213,0.05,4.232226494607359,0.5515305144443976,0.5113337306510518,0.092181384102814,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
