,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6222222222222222,2796163,100214,0.05,0.02087997956577656,0.6210896483914949,1.1728083415075594,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.26666666666666666,2796163,100214,0.05,0.1082603129994518,0.7759956273308418,0.8836286948763109,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,2796163,100214,0.07129263098250639,0.046071704956865016,0.6315217497839105,0.922545997255948,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6,2796163,100214,0.05,0.06982919893580182,0.7212913157260209,0.940498119413387,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6666666666666666,2236517,200025,0.05,0.19524983541435187,0.9028258446849912,1.242381667724201,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.4888888888888889,2236517,200025,0.05,2.0209482018669207,0.5820896993584452,0.5819253794517121,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6,2236517,200025,0.05,0.32253310412950764,1.1075118650540186,0.90808488093608,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.7333333333333333,2236517,200025,0.05,2.7721203467049405,0.5747211927593616,0.5709016786603693,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6888888888888889,7375051,407260,1.5753084795976642,0.18959507983083934,0.37806455574611175,0.26443729323108456,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.37777777777777777,7375051,407260,0.477157530200288,0.16638757731374704,0.6363761524134104,0.28629277875603504,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.24444444444444444,7375051,407260,0.05,1.817790666164724,0.5202745360724037,0.2533398767747113,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.8444444444444444,7375051,407260,0.4787114295953017,0.2855972780710829,0.4401893817724748,0.3405131101822685,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.8,6213539,100051,2.0,0.012533265103835551,0.05,0.664574051697475,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6888888888888889,6213539,100051,0.05,0.4267819816327418,0.05,0.5063887724495859,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6,6213539,100051,2.0,0.00998235798785843,0.4466627886276048,0.7097326921179762,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5777777777777777,6213539,100051,0.12475249923847745,0.0013859433914432664,1.1382301855567272,2.0,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.4222222222222222,9024911,200211,0.4474986282788127,0.31074119364318153,0.05,0.07214209904177894,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6888888888888889,9024911,200211,0.2729378965608323,0.3365298060156027,0.05,0.2105708519983196,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.4666666666666667,9024911,200211,0.3494489962686749,0.43708666633810334,0.05,0.12631411045561478,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.4,9024911,200211,0.4250211151354398,0.348224901127471,0.10053943874846136,0.08426408104895351,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.8222222222222222,3657407,405027,0.05,0.3645067521811084,0.30554804255683704,0.6833234680626797,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5777777777777777,3657407,405027,0.05,0.0436686812704035,0.7404256908099158,1.1774157807511854,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6222222222222222,3657407,405027,0.05,0.7493222953636428,0.3133228629348126,0.5373823363857942,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.4,3657407,405027,0.05,1.6731706643080702,0.3967399137471298,0.4795928298847586,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6,6687479,100188,0.05,0.7267295891273698,0.05,0.4566741539376302,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6444444444444445,6687479,100188,1.531886747423555,0.022431200669844838,0.05,0.6487813772402516,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.4888888888888889,6687479,100188,0.05,2.042033616891222,0.05,0.3696865385419331,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6,6687479,100188,0.05,1.276940262975551,0.05,0.4549794050745841,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.4666666666666667,4497002,200148,0.13397548530475326,0.05199925259599941,0.8019556509665947,1.0918525983856768,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,4497002,200148,2.0,0.036962070521486375,0.3294890047876019,0.6677950938105516,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5111111111111111,4497002,200148,0.05,0.0715160553209915,1.037899819721012,1.5596020079399868,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,4497002,200148,1.4929803658442948,0.036511350998295874,0.4453957133563645,0.7332705884173449,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.8222222222222222,7007525,409850,0.05,3.5293220140874935,0.5943124492092406,1.0567302583362843,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.8222222222222222,7007525,409850,0.05,1.368633541284445,0.6791205361080126,1.1852117663088533,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.3555555555555556,7007525,409850,0.05,0.09002070899774088,1.3242819089353877,1.492561598627893,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6666666666666666,7007525,409850,0.05,0.43989490261868,0.8492972576350971,0.9092595680085132,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.3111111111111111,6874151,409874,0.05,1.4406957031499217,0.4783964430453169,0.36511800801118666,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.7333333333333333,6874151,409874,0.8911415635925362,0.18284957000311985,0.07458475689805942,0.11900111157774465,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.4444444444444444,6874151,409874,0.9068628790537556,0.1519944995198136,0.11997526874287888,0.1022418545056033,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6,6874151,409874,1.5856260447029382,0.10440917679231396,0.1629887697555915,0.22343405411356507,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.2222222222222222,5023095,100207,0.05,2.379608144952072,0.2459414195237409,0.24995677878176584,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,5023095,100207,0.05,0.9346980128175828,0.3686967790132199,0.435393927685782,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.7777777777777778,5023095,100207,0.05,1.704991857337122,0.21825293235871185,0.412780744535586,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,5023095,100207,0.05,1.6708873949258252,0.27600361906876114,0.3976487666206127,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.2888888888888889,2176857,406989,2.0,0.07855698263807206,0.4057403950751597,0.26604747580289506,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.37777777777777777,2176857,406989,0.7615603307054155,0.0351278626769921,0.5869461845429427,0.6207353338332279,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6222222222222222,2176857,406989,0.4457969281550701,0.04562329530364708,0.7043905188010807,0.7658802747063532,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6444444444444445,2176857,406989,0.4152778496232592,0.08822150961890815,0.5923730813238901,0.5915221648294435,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6444444444444445,3687662,100003,0.05,2.0661017432907545,0.05,0.4124161503472328,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.7777777777777778,3687662,100003,0.05,1.1364685335208993,0.05,0.543130479879583,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.5333333333333333,3687662,100003,0.05,1.868147075829443,0.05,0.443972882600944,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.7333333333333333,3687662,100003,0.05,2.541156610291813,0.06449964626758446,0.4429352861135702,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6888888888888889,1858573,100059,0.05,1.1316324965252342,0.05,0.3876112919517245,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6444444444444445,1858573,100059,0.05,2.421582311039483,0.05,0.29367941774279754,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave,0.6222222222222222,1858573,100059,0.05,1.5627437811668283,0.05,0.3108822357485627,1.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos_Fix_lossave_
