,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.4222222222222222,1497505,402997,0.07421480549322962,0.036396382957633734,1.0,2.7610916401684538,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
1,0,2,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.6666666666666666,1497505,402997,0.2275949457590795,0.0490320502414742,1.0,3.0841700940073946,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
2,0,3,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.8,1497505,402997,0.05,0.09259834263768066,1.0,3.3182435867167657,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
3,0,4,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.7333333333333333,1497505,402997,0.0678109536049176,0.05023210321902328,1.0,4.326650968073259,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
0,0,1,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.4666666666666667,6813114,409850,0.0501097233766823,2.279262036744853,1.0,0.0776547851707948,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
1,0,2,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.17777777777777778,6813114,409850,0.05,0.17857510774955346,1.0,10.0,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
2,0,3,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.9111111111111112,6813114,409850,0.05,15.0,1.0,0.008438263498308103,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
3,0,4,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.8888888888888888,6813114,409850,0.05,15.0,1.0,0.00992323728683878,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
0,0,1,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.4888888888888889,7603301,100169,0.05,0.025076520118753182,1.0,0.0,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
1,0,2,LearningParams_Fit_alpha-beta-lossave_Fix_exp,0.5333333333333333,7603301,100169,2.0,0.00035189791994160813,1.0,0.0,CV_LearningParams_Fit_alpha-beta-lossave_Fix_exp_
