,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.3333333333333333,4578322,411477,0.20426770723077528,0.11307495592755708,3.4357217894021406,0.28752073292389696,0.07180727387526309,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7555555555555555,4578322,411477,0.7919310041388925,0.8888723836527974,0.5164184621738447,0.1691589780827844,0.09516499662046164,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.2,4578322,411477,2.0,1.2302544219434697,0.5028978322228218,0.11298937175755633,0.07191923880629991,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6,4578322,411477,1.5991193472479794,1.3519740097788515,0.4825399019544321,0.05,0.157504955724492,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.5333333333333333,9414451,100244,0.8604932668509637,1.5882726943018592,0.5112350517388414,0.05,4.42366373728803,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7111111111111111,9414451,100244,0.15827080725522702,0.3861259282372441,1.4895076521958523,0.10343005127265033,7.83905586735944,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.8,9414451,100244,0.63032429039488,2.0,0.4840258674172581,0.1862289625566564,6.263024406792346,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6666666666666666,9414451,100244,0.10709960468956564,0.3479350157399823,1.1448454502414975,0.4844799239952486,8.500352989895509,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7777777777777778,7722597,406980,0.0949682871491867,0.6434782250453438,0.1779538435699146,0.4027237990099128,2.2667377449803903,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7333333333333333,7722597,406980,0.07930642190392584,0.3888741899476091,0.26191896043044105,0.4068388837752957,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6666666666666666,7722597,406980,0.05,0.22382374839657887,0.03490505713541058,1.3518485414740649,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7555555555555555,7722597,406980,0.05,2.0,0.021897188135069624,0.6997811761777821,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7333333333333333,2043408,200164,0.15386926233746692,0.20636333680418925,0.8739761146960415,0.05,1.464327820702914,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.3111111111111111,2043408,200164,0.05761805234726041,0.05331901376810181,2.5099173039256,0.05,1.882736582633923,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7555555555555555,2043408,200164,0.6751374514394763,1.5571893126029963,0.11942821010193992,0.061735240400544435,2.2430032350982474,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.5333333333333333,2043408,200164,0.05131685402588927,0.09398674784860353,0.6927858912481608,0.13758371595661156,10.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6888888888888889,1061781,100051,0.05008030799636503,1.9971205417150781,0.009455948635896407,0.6560993268791345,0.07748902952530509,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4888888888888889,1061781,100051,1.9991536472267557,0.4701362710822011,15.0,0.26971263273557083,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6888888888888889,1061781,100051,0.050993295057753775,2.0,0.011392931687937369,0.5155839238600448,0.002733324766108552,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6222222222222222,1061781,100051,0.05,2.0,0.0428291035420346,0.10293530909200588,0.03753244747272549,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4888888888888889,9911321,200133,0.08447141237940553,0.24497777917870786,0.04237747410945994,0.7190712249530337,5.218324003740532,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.5777777777777777,9911321,200133,0.07369102454894501,0.4076709598558712,0.02415505348293226,0.8375880514240198,10.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.37777777777777777,9911321,200133,0.16871945698826704,0.4886451899621802,0.06701606526019076,0.558047534842469,4.0848965853549775,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7333333333333333,9911321,200133,0.06056928083192796,0.3803865172255624,0.02008560175571929,0.8969065985757264,5.791836046362352,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.3555555555555556,9342185,407260,2.0,0.39240922373123627,0.06744619883115302,0.31634259830270106,1.5157265261221562,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.3555555555555556,9342185,407260,0.11782932463738735,0.05,0.8790098594407257,0.4437992437356746,1.5409043458423954,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6222222222222222,9342185,407260,1.795992920128516,2.0,0.03933019730792777,0.3929511588032292,4.475949871498692,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4666666666666667,9342185,407260,1.206109450807716,0.3265307640246416,2.118070221557993,0.3643963412952896,0.05162204745346994,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4666666666666667,1112641,100152,0.05,0.056683520948614174,2.6010903070935094,0.5555227615745599,0.43129009709997335,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.37777777777777777,1112641,100152,0.05,0.15608363705877829,0.09093904330000377,1.069191232782189,2.4736038413145858,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.8,1112641,100152,0.05,0.16927290127599934,0.19898889728841565,0.7686552685783117,1.6987681936638592,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.8666666666666667,1112641,100152,0.1849004870017387,1.5566917010554435,0.050169269879395004,0.7011200782459709,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6,1635536,310949,0.14635947260417734,1.3928527752587605,0.059662007340348724,0.6058115825171387,0.005453661081566469,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.5333333333333333,1635536,310949,0.05,0.09927278873679718,0.3740756706796883,0.7302016280688577,0.4775203493741153,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4888888888888889,1635536,310949,0.6481263946097883,2.0,0.09067070644456633,0.4317539531379769,3.0139785500578054,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.5333333333333333,1635536,310949,0.19037450525554128,0.5127722484911382,0.21122535875593484,0.53102590458611,1.7801727948960715,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.13333333333333333,1645067,400742,1.0866201307981609,0.2322701765128578,7.272867695977538,0.06934597973602426,0.0033958004227315607,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.5777777777777777,1645067,400742,0.7731454095334747,0.4054243245772486,0.6052647448914391,0.2288655411700692,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6,1645067,400742,1.6469721365931396,0.3794104848739756,15.0,0.05033913080734957,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4222222222222222,1645067,400742,0.30522530192495284,0.20421155156528653,0.599142176530673,0.05,0.4250640634661515,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4444444444444444,5354824,311283,0.3806323470078588,0.3201871695470573,0.5148937144857428,0.3746982905796498,0.10426472954013707,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.3111111111111111,5354824,311283,0.9389280710850902,1.1870520749121043,0.08006081048231675,0.3972997602811325,0.08916435118638158,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7333333333333333,5354824,311283,0.8095974363517711,0.37142604982359534,1.3490053901743408,0.40963154907314375,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6222222222222222,5354824,311283,0.5672643776869885,0.14215260934672616,0.6631601401696371,0.6494057823819206,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.2222222222222222,9584802,100250,0.4956731471333793,0.05,0.051404890155303126,0.22386660746603626,9.48062562773272,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4222222222222222,9584802,100250,0.6446871123105997,0.05,0.05303785583975878,0.07365467174547635,5.249317303479754,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4,9584802,100250,1.108134710521166,0.052539988554722285,3.722286649485736,0.17183042174425414,0.06411113390258975,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.5333333333333333,9584802,100250,0.17987157408399734,0.05,0.035937510673147106,0.38986017489108143,10.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6666666666666666,3862923,100214,0.05,1.9341496022957525,0.01047778545109118,0.6182605024744704,0.3496639624949304,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.4888888888888889,3862923,100214,0.15778231843825322,0.11450159457227548,0.08219400779399988,0.8702934541838072,0.2778289476855924,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.7777777777777778,3862923,100214,0.05,2.0,0.013433597611517805,0.6385543715861614,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix,0.6222222222222222,3862923,100214,0.05,0.25328992511333104,0.02391212215220686,0.8582007896577046,0.21222440234597187,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp-lossave_Fix_
