,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.6,7808500,100214,0.05,0.2171159341281275,0.0264381906617571,0.8976951401431961,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.4,7808500,100214,0.05,0.9394806388845036,0.009627162180014043,0.7503705585905424,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.6666666666666666,7808500,100214,0.05,0.10696934884114942,0.16569320858686132,0.6308641662020116,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.8888888888888888,7808500,100214,0.05,2.0,0.009263067593052272,0.7999079250854864,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.5777777777777777,8643197,200148,0.3607070959276836,1.720229472583671,0.05901843246769339,0.5969428196911359,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.7333333333333333,8643197,200148,0.1274133498489433,0.4209787296192717,0.05333465378836655,0.8761440422966688,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.4,8643197,200148,0.05,0.09929191140412952,0.08454015909848794,0.9819533768634916,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.4888888888888889,8643197,200148,0.0867759211888654,0.44578493039315903,0.04816785070227556,0.9909175706427734,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.5777777777777777,9885461,408511,0.2798292872112452,0.8748587723938728,0.4820966620591479,0.1545908262722139,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.7333333333333333,9885461,408511,0.2694771834038459,0.7965587780033649,0.4667408450751353,0.3486782984184882,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.8222222222222222,9885461,408511,0.17462212812650627,2.0,0.1423521490054923,0.26231224577203033,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.5555555555555556,9885461,408511,0.1489565712619647,0.36523224283008016,0.5191685641075187,0.4351492426154337,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.5777777777777777,250243,200061,0.05,0.17080202021751206,0.2480662166821444,0.9191560242410184,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.5777777777777777,250243,200061,0.05,0.11739545212930785,2.409429758402511,0.5270684647889915,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.7555555555555555,250243,200061,0.05,0.3023893037996956,0.8141933585103388,0.7304576319683989,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.5555555555555556,250243,200061,0.05,2.0,0.020477673698609297,1.1260211371018722,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.15555555555555556,1266970,100143,0.08168653121819817,0.05,2.8299510164149773,0.05,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.6,1266970,100143,0.06152061526436772,0.07898906531290249,1.6514230126545058,0.05,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave,0.6666666666666666,1266970,100143,0.0642824866195312,0.07053064029164324,1.7866100149508168,0.05,1.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-exp_Fix_lossave_
