,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.7777777777777778,7337667,200025,0.2647021770983221,2.0,0.041753993602149216,1.0,2.5649569746100283,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.7111111111111111,7337667,200025,0.05,0.1818022684417678,0.055137060336671186,1.0,4.983649726886914,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.7333333333333333,7337667,200025,0.05,0.12958063924307275,0.06956520668861392,1.0,2.9429873008045417,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.4222222222222222,7337667,200025,0.05,0.05,0.1461416014483848,1.0,0.5055081455932268,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.3111111111111111,6934026,100051,2.0,0.05,0.08111347172323574,1.0,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.5333333333333333,6934026,100051,0.07427058949214348,1.4749594203509393,0.003410496023262245,1.0,7.8098546131546565,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
2,0,3,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.7777777777777778,6934026,100051,0.22353911959536688,0.7810076548752183,0.01733800143096247,1.0,0.0,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
3,0,4,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.7333333333333333,6934026,100051,0.08258915481761388,2.0,0.002375058757250907,1.0,0.352201134602226,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
0,0,1,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.37777777777777777,4824749,100068,0.7475193716933056,1.427846715196268,0.03155302510795829,1.0,0.10083352946514676,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
1,0,2,LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp,0.6222222222222222,4824749,100068,0.4097783165818951,1.4623316669976,0.025399522825042445,1.0,0.4155635726417502,CV_LearningParams_Fit_alpha_neg-alpha_pos-beta-lossave_Fix_exp_
