Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance,
2.0,1,-5,167333,169851,2364,171855,519.0,1,
3.0,1,100,172385,176028,1766,178032,1454.0,1,
1.0,0,0,179497,182175,2676,184179,1381.0,1,
4.0,1,-100,185571,188185,403,190189,2868.0,1,
4.0,1,10,193068,196981,1168,198985,3060.0,1,
4.0,1,10,202056,205191,907,207195,942.0,1,
3.0,1,-10,208148,210875,2164,212879,2101.0,1,
1.0,1,5,214991,217903,827,219907,590.0,1,
2.0,1,-5,220508,223084,1440,225088,3834.0,1,
1.0,1,5,228933,232672,1563,234676,1607.0,1,
1.0,1,5,236294,239414,765,241418,3913.0,1,
2.0,2,0,245342,247914,1302,249918,1017.0,1,
3.0,2,0,250946,253794,723,255798,922.0,1,
4.0,0,0,256731,259540,2807,261544,1697.0,1,
4.0,1,10,263252,266501,576,268505,1420.0,1,
2.0,2,0,269936,272709,783,274713,595.0,1,
2.0,2,0,275319,277874,762,279878,1076.0,1,
1.0,1,5,280965,284764,917,286768,1902.0,1,
3.0,2,0,288681,291712,1458,293716,1928.0,1,
1.0,1,-495,295655,298417,612,300421,1335.0,1,
1.0,1,5,301767,305987,2006,307991,507.0,1,
1.0,1,5,308509,311257,929,313261,701.0,1,
1.0,1,5,313973,316931,939,318935,663.0,1,
4.0,0,0,319609,322133,2522,324137,3555.0,1,
3.0,1,100,327703,330421,1053,332426,2412.0,1,
1.0,1,5,334849,337525,1239,339529,592.0,1,
1.0,2,0,340132,343321,2105,345326,1321.0,1,
3.0,1,100,346658,350293,811,352297,1866.0,1,
4.0,1,-100,354174,356851,1479,358855,2291.0,1,
2.0,1,-5,361157,364078,1061,366082,2991.0,1,
2.0,1,-5,445918,448560,1109,450564,2658.0,1,
1.0,1,5,453233,456251,583,458255,775.0,1,
2.0,1,495,459041,461667,736,463671,2112.0,1,
3.0,1,100,465794,468684,838,470688,1501.0,1,
3.0,1,-10,472200,475047,809,477051,1977.0,1,
2.0,1,-5,479039,482278,743,484282,924.0,1,
2.0,1,-5,485217,488334,709,490338,709.0,1,
1.0,1,5,491058,493886,980,495890,2195.0,1,
3.0,1,-10,498096,500928,698,502932,3069.0,1,
3.0,1,-10,506012,508850,814,510854,1144.0,1,
4.0,1,-100,512008,515600,679,517604,1865.0,1,
1.0,1,5,519480,522749,597,524753,1062.0,1,
4.0,1,10,525826,528337,1652,530341,808.0,1,
3.0,1,100,531160,534515,1008,536519,776.0,1,
1.0,1,5,537306,540834,651,542838,1752.0,1,
1.0,1,5,544602,547349,632,549353,2352.0,1,
1.0,2,0,551716,554545,1124,556549,3747.0,1,
1.0,2,0,560307,563108,1528,565113,2964.0,1,
1.0,2,0,568088,572096,1263,574100,3776.0,1,
3.0,1,-10,577887,580407,716,582411,895.0,1,
4.0,1,-100,583317,586507,715,588511,1167.0,1,
1.0,1,5,589689,592211,845,594215,3746.0,1,
3.0,1,100,597972,600623,668,602627,1131.0,1,
1.0,1,-495,603769,607297,828,609301,2179.0,1,
4.0,2,0,611491,614193,800,616197,1215.0,1,
3.0,1,-10,617423,620059,694,622063,2711.0,1,
1.0,1,5,624785,628538,933,630542,2474.0,1,
1.0,1,5,633027,635584,606,637588,743.0,1,
4.0,2,0,638342,641318,822,643322,3203.0,1,
3.0,1,-10,646536,649696,1014,651700,1397.0,1,
3.0,1,-10,728698,731212,1107,733216,3892.0,1,
4.0,1,-100,737120,739751,1574,741755,3604.0,1,
1.0,1,5,745370,748020,731,750024,2096.0,1,
3.0,1,100,752131,754723,1047,756727,1142.0,1,
4.0,2,0,757880,762134,631,764138,904.0,1,
1.0,1,5,765054,767679,746,769683,2617.0,1,
2.0,1,-5,772311,775668,667,777672,1534.0,1,
3.0,1,-10,779217,782345,654,784349,738.0,1,
4.0,2,0,785098,788132,735,790136,1949.0,1,
2.0,1,-5,792096,796129,716,798133,3888.0,1,
1.0,1,5,802032,804646,641,806650,846.0,1,
1.0,1,5,807507,811009,733,813013,993.0,1,
4.0,2,0,814017,816649,680,818653,2966.0,1,
4.0,2,0,821630,826514,674,828518,3919.0,1,
2.0,1,-5,832448,835448,695,837452,3413.0,1,
4.0,2,0,840876,845081,639,847085,1954.0,1,
4.0,2,0,849050,851586,841,853590,1361.0,1,
1.0,1,-495,854962,857820,749,859824,3175.0,1,
3.0,1,100,863010,865629,790,867633,3801.0,1,
2.0,1,-5,871445,874266,604,876270,1205.0,1,
1.0,1,5,877486,881012,1064,883016,1969.0,1,
1.0,1,5,884996,888396,613,890400,2101.0,1,
2.0,1,-5,892512,895108,685,897113,537.0,1,
2.0,1,-5,897661,900509,576,902513,888.0,1,
4.0,2,0,903412,906449,726,908453,1331.0,1,
4.0,2,0,909795,912990,731,914994,3075.0,1,
4.0,2,0,918080,920777,715,922781,2435.0,1,
1.0,1,5,925227,927909,1277,929913,1012.0,1,
3.0,1,-10,930936,933834,716,935838,1476.0,1,
4.0,2,0,937325,939895,706,941899,2546.0,1,
2.0,1,-5,1000440,1003773,903,1005777,562.0,1,
3.0,1,100,1006350,1009033,812,1011037,1980.0,1,
1.0,2,0,1013028,1015593,873,1017597,1348.0,1,
4.0,1,10,1018956,1021763,862,1023767,597.0,1,
3.0,1,100,1024375,1027240,707,1029244,1862.0,1,
1.0,2,0,1031118,1033816,465,1035820,2445.0,1,
4.0,2,0,1038276,1041337,713,1043341,2740.0,1,
3.0,1,100,1046092,1049357,632,1051361,1414.0,1,
4.0,1,-100,1052786,1055401,1094,1057405,2796.0,1,
3.0,1,100,1060212,1062876,683,1064880,3059.0,1,
3.0,1,100,1067950,1070883,632,1072887,1357.0,1,
4.0,1,10,1074255,1078014,967,1080018,3568.0,1,
3.0,1,100,1083597,1086926,631,1088930,1388.0,1,
2.0,1,495,1090329,1092890,998,1094894,692.0,1,
2.0,1,-5,1095597,1098176,711,1100180,810.0,1,
1.0,2,0,1101000,1103990,794,1105994,2219.0,1,
2.0,1,-5,1108224,1110990,744,1112994,2414.0,1,
2.0,1,-5,1115419,1117973,721,1119978,747.0,1,
2.0,2,0,1120736,1123414,899,1125418,2296.0,1,
2.0,2,0,1127725,1130510,753,1132514,1290.0,1,
1.0,2,0,1133815,1138339,882,1140343,3187.0,1,
1.0,2,0,1143541,1146329,557,1148333,1427.0,1,
4.0,1,10,1149771,1152349,1115,1154353,991.0,1,
3.0,1,-10,1155355,1158256,845,1160260,1738.0,1,
1.0,2,0,1162008,1165653,716,1167657,854.0,1,
3.0,1,-10,1168522,1172011,720,1174015,1405.0,1,
2.0,1,-5,1175431,1178029,716,1180033,978.0,1,
4.0,1,-100,1181022,1183524,974,1185528,574.0,1,
4.0,1,-100,1186114,1189003,668,1191007,1461.0,1,
4.0,2,0,1192479,1195050,498,1197054,2058.0,1,
1.0,1,5,1271510,1274828,1458,1276832,2485.0,1,
2.0,1,-5,1279328,1282252,722,1284256,2870.0,1,
2.0,1,-5,1287137,1289775,498,1291779,2760.0,1,
4.0,1,-100,1294550,1297143,921,1299147,2680.0,1,
4.0,1,-100,1301838,1306002,537,1308006,1053.0,1,
4.0,2,0,1309070,1312425,598,1314429,3218.0,1,
4.0,2,0,1317658,1320686,861,1322690,790.0,1,
2.0,1,-5,1323491,1326265,617,1328269,2712.0,1,
4.0,2,0,1331096,1333918,614,1335922,1602.0,1,
2.0,1,-5,1337535,1341379,442,1343383,1452.0,1,
3.0,1,-10,1344846,1347566,648,1349570,999.0,1,
1.0,2,0,1350580,1353282,711,1355286,1212.0,1,
3.0,1,-10,1356509,1359274,700,1361278,645.0,1,
1.0,2,0,1361934,1364605,686,1366609,1335.0,1,
1.0,2,0,1367955,1371021,644,1373025,693.0,1,
2.0,1,-5,1373729,1376961,664,1378965,643.0,1,
2.0,1,-5,1379619,1382553,503,1384557,549.0,1,
2.0,1,-5,1385118,1388228,436,1390232,765.0,1,
3.0,1,-10,1391007,1395231,659,1397235,547.0,1,
4.0,2,0,1397793,1400662,533,1402666,1579.0,1,
3.0,1,100,1404256,1407172,761,1409176,3813.0,1,
1.0,2,0,1413000,1416685,664,1418689,1929.0,1,
2.0,1,495,1420629,1423518,644,1425522,2176.0,1,
3.0,1,-10,1427709,1430252,673,1432256,1940.0,1,
2.0,1,-5,1434207,1436782,628,1438786,2698.0,1,
3.0,1,-10,1441495,1444019,827,1446023,1632.0,1,
4.0,2,0,1447666,1450406,675,1452410,1977.0,1,
2.0,1,-5,1454398,1457055,973,1459059,1415.0,1,
1.0,2,0,1460485,1463466,805,1465470,863.0,1,
3.0,1,-10,1466344,1469122,892,1471126,694.0,1,
3.0,1,100,1534038,1536648,1102,1538652,662.0,1,
2.0,1,-5,1539325,1541907,552,1543911,2710.0,1,
3.0,1,-10,1546632,1549382,723,1551386,2530.0,1,
2.0,1,-5,1553927,1556466,714,1558470,2286.0,1,
2.0,1,-5,1560767,1563737,608,1565741,1409.0,1,
3.0,1,100,1567161,1570361,560,1572365,2541.0,1,
1.0,2,0,1574917,1577988,655,1579992,2103.0,1,
2.0,1,-5,1582106,1586932,624,1588936,782.0,1,
2.0,1,495,1589729,1592852,614,1594856,2056.0,1,
