Trial_type,Response,Points_earned,Trial_start_time,Stim_end_time,Reaction_time,ITI_start_time,ITI_length,Counterbalance
2,1,-5,100637,103156,1600,105160,519,1
3,1,100,105691,109334,1557,111339,1454,1
1,1,5,112805,115487,1970,117492,1381,1
4,1,-100,118884,121497,1148,123502,2868,1
4,2,0,126381,130295,1190,132300,3060,1
4,1,10,135373,138509,1983,140514,942,1
3,1,-10,141469,144197,974,146202,2101,1
1,1,5,148315,151227,985,153231,590,1
2,1,-5,153832,156407,1256,158412,3834,1
1,1,5,162258,165997,1615,168000,1607,1
1,2,0,169626,172746,1179,174751,3913,1
2,1,-5,178677,181249,1001,183254,1017,1
3,1,100,184282,187132,1079,189137,922,1
4,1,10,190071,192879,636,194884,1697,1
4,2,0,196593,199843,1350,201847,1420,1
2,2,0,203279,206053,1762,208058,595,1
2,1,-5,208665,211220,1435,213224,1076,1
1,1,5,214318,218118,1279,220123,1902,1
3,1,100,222038,225068,638,227072,1928,1
1,2,0,229011,231773,2105,233778,1335,1
1,0,0,235125,239345,4218,241351,507,1
1,0,0,242062,244810,2746,246815,701,1
1,0,0,247528,250487,2957,252492,663,1
4,0,0,253167,255691,2522,257696,3555,1
3,0,0,261263,263981,2716,265986,2412,1
1,0,0,268412,271088,2674,273093,592,1
1,0,0,273697,276887,3188,278891,1321,1
3,0,0,280225,283859,3633,285864,1866,1
4,0,0,287742,290419,2676,292423,2291,1
2,0,0,294726,297647,2919,299652,2991,1
2,1,-5,60690,63208,953,65213,519,1
3,1,100,65745,69388,895,71393,1454,1
1,1,5,72859,75536,1131,77540,1381,1
4,2,0,78942,81556,958,83561,2868,1
4,2,0,86440,90354,2219,92360,3060,1
4,1,-100,95432,98567,1126,100572,942,1
3,1,-10,101525,104253,476,106258,2101,1
1,1,5,108370,111282,648,113288,590,1
2,1,-5,113890,116465,1189,118470,3834,1
1,1,5,122316,126055,871,128060,1607,1
1,1,5,129678,132798,1126,134803,3913,1
2,2,0,138729,141302,1170,143306,1017,1
3,1,100,144406,147255,553,149261,922,1
4,2,0,150195,153005,1208,155010,1697,1
4,2,0,156721,159971,961,161976,1420,1
2,1,-5,163410,166183,1324,168188,595,1
2,2,0,168796,171352,1045,173358,1076,1
1,1,-495,174448,178248,1138,180254,1902,1
3,1,100,182168,185198,673,187203,1928,1
1,1,5,189144,191906,1632,193911,1335,1
1,2,0,195259,199480,1377,201484,507,1
1,2,0,202002,204750,2347,206756,701,1
1,1,5,207470,210429,806,212436,663,1
4,2,0,213111,215637,844,217642,3555,1
3,1,100,221210,223927,779,225932,2412,1
1,2,0,228357,231033,2575,233038,592,1
1,2,0,233644,236834,1494,238840,1321,1
3,1,-10,240172,243807,1021,245813,1866,1
4,2,0,247690,250368,1046,252373,2291,1
2,1,-5,254675,257595,1592,259600,2991,1
2,2,0,344389,347031,1691,349036,2658,1
1,1,5,351705,354724,661,356729,775,1
2,1,495,357516,360143,1573,362148,2112,1
3,1,-10,364274,367164,1102,369169,1501,1
3,1,-10,370682,373529,535,375534,1977,1
2,2,0,377523,380763,2217,382767,924,1
2,1,-5,383709,386827,1548,388833,709,1
1,2,0,389555,392384,1276,394389,2195,1
3,1,100,396597,399430,495,401435,3069,1
3,1,-10,404516,407353,1200,409357,1144,1
4,2,0,410513,414106,1594,416111,1865,1
1,1,5,417987,421256,1850,423261,1062,1
4,2,0,424336,426847,895,428852,808,1
3,1,100,429730,433085,697,435090,776,1
1,2,0,435879,439408,1929,441413,1752,1
1,1,5,443177,445924,903,447929,2352,1
1,2,0,450292,453115,1360,455120,3747,1
1,2,0,458881,461682,1238,463687,2964,1
1,1,5,466662,470670,877,472674,3776,1
3,1,-10,476463,478983,890,480988,895,1
4,2,0,481896,485088,1910,487093,1167,1
1,2,0,488271,490793,1675,492799,3746,1
3,1,-10,496557,499208,865,501213,1131,1
1,1,5,502357,505886,1751,507891,2179,1
4,1,10,510083,512786,1327,514791,1215,1
3,1,-10,516019,518655,1226,520660,2711,1
1,1,5,523447,527200,1719,529205,2474,1
1,2,0,531692,534249,1107,536256,743,1
4,2,0,537012,539990,1918,541995,3203,1
3,1,100,545210,548370,1114,550375,1397,1
3,1,-10,611189,613703,1110,615709,3892,1
4,1,10,619614,622245,1401,624250,3604,1
1,1,5,627866,630517,1514,632522,2096,1
3,1,100,634631,637224,1057,639229,1142,1
4,2,0,640383,644637,1035,646642,904,1
1,2,0,647559,650184,1378,652190,2617,1
2,1,-5,654819,658177,1144,660181,1534,1
3,1,-10,661727,664856,818,666861,738,1
4,1,10,667645,670680,1273,672686,1949,1
2,1,-5,674767,678800,1862,680805,3888,1
1,2,0,684704,687318,1366,689323,846,1
1,1,5,690182,693684,625,695689,993,1
