,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,x0_lossave,xopt_alpha,xopt_beta,xopt_exp,xopt_lossave,model
0,29,51.7099119351563,1727944.0,409381.0,0.22354878693820865,0.5749042882659379,1.0,1.0,0.05,0.14772947605816006,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
1,36,51.709911935156356,91753971.0,409381.0,0.20541499461723509,0.1161016518876982,1.0,1.0,0.05,0.14772948261620655,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
2,7,51.70991193515639,55840239.0,409381.0,0.6466834774277584,1.500843157285196,1.0,1.0,0.05,0.147729489246051,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
3,31,51.70991193515645,13675955.0,409381.0,0.27654091906416106,2.12064496574017,1.0,1.0,0.05,0.14772946738922169,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
4,3,51.70991193515648,14013153.0,409381.0,0.16052723778595634,2.054526165207877,1.0,1.0,0.05,0.1477294768439947,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
5,33,51.709911935156576,39413755.0,409381.0,0.6851248622121625,1.5592983662684905,1.0,1.0,0.05,0.14772946960057168,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
6,2,51.709911935156576,6211778.0,409381.0,0.19494468879318427,2.79113902998751,1.0,1.0,0.05,0.14772946273183685,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
7,28,51.70991193515689,81931141.0,409381.0,0.6537657073506186,1.214425542736107,1.0,1.0,0.05,0.14772945433440254,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
8,11,51.70991193515739,50239580.0,409381.0,0.1984032280537045,1.184568334593655,1.0,1.0,0.05,0.14772944652639894,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
9,46,51.70991193515894,94215120.0,409381.0,0.4161708296080552,3.3504628859836982,1.0,1.0,0.05,0.1477294281187563,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
10,26,51.70991193515977,35064769.0,409381.0,0.6856023276769478,1.2446639069813763,1.0,1.0,0.05,0.14772942255662458,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
11,32,51.70991193516639,51502119.0,409381.0,0.4991201661355647,0.8475963660418622,1.0,1.0,0.05,0.1477295679796133,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
12,49,51.70991193517462,43638863.0,409381.0,0.8721108167356544,0.27183413164206643,1.0,1.0,0.05,0.14772935371124465,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
13,24,51.7099119351818,68300514.0,409381.0,0.3812226067593337,2.054150073343458,1.0,1.0,0.05,0.14772933149184844,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
14,43,51.70991193518206,84616166.0,409381.0,0.9712433398184124,1.3662250496601798,1.0,1.0,0.05,0.1477293304914233,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
15,38,51.709911935182504,27882981.0,409381.0,0.0661152123417695,6.105656256077403,1.0,1.0,0.05,0.14772932895763893,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
16,48,51.709911935184486,48983196.0,409381.0,0.2753849985590464,2.917600313014445,1.0,1.0,0.05,0.14772932377562192,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
17,34,51.70991193518889,377906.0,409381.0,0.2708242016668965,1.3855608213928954,1.0,1.0,0.05,0.14772931245646184,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
18,40,51.70991193520794,93664455.0,409381.0,0.35314941021958096,1.7777850242879154,1.0,1.0,0.05,0.14772926971022635,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
19,12,51.709911935233144,76940819.0,409381.0,0.04511825999593532,3.7615160318831165,1.0,1.0,0.05,0.14772922465248772,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
20,14,51.7099119352713,25416531.0,409381.0,0.06881716351057758,0.8877367547122359,1.0,1.0,0.05,0.14772978404759424,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
21,1,51.70991193529401,28440764.0,409381.0,0.4869933127316088,0.5596338776263149,1.0,1.0,0.05,0.14772913910968888,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
22,15,51.709911935310316,83139090.0,409381.0,0.07818863511591187,1.205462591321179,1.0,1.0,0.05,0.14772983228794154,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
23,0,51.70991193533446,2551472.0,409381.0,0.22896953712167856,0.95296159640329,1.0,1.0,0.05,0.14772985930286955,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
24,6,51.70991193551843,26359005.0,409381.0,0.30658964577923004,1.0620283929319685,1.0,1.0,0.05,0.1477289297100563,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
25,37,51.70991193564946,38438202.0,409381.0,0.7941166532589823,0.6099183997642886,1.0,1.0,0.05,0.14772883857810973,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
26,44,51.70991193579678,63022476.0,409381.0,0.3776399631957114,1.1890871709955984,1.0,1.0,0.05,0.14772874952062565,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
27,25,51.7099119358035,63690489.0,409381.0,0.6798978257794344,0.6598010254729232,1.0,1.0,0.05,0.14772874575143524,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
28,35,51.70991193615099,35275428.0,409381.0,0.6775880573762492,1.6902256218274943,1.0,1.0,0.05,0.1477303816062571,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
29,27,51.70991193619815,54059291.0,409381.0,0.4017245809627524,1.8827239951110042,1.0,1.0,0.05,0.14773040278655314,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
30,30,51.709911938845615,43666394.0,409381.0,0.73003405418112,0.2697842178620557,1.0,1.0,0.05,0.14773121999638053,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
31,23,51.709911940532244,94763385.0,409381.0,0.4575732241726804,1.6382231843086477,1.0,1.0,0.05,0.14773158127892091,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
32,19,51.709911941093566,32707778.0,409381.0,0.41009944492682976,1.006637056220263,1.0,1.0,0.05,0.14773168844052156,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
33,21,51.70991196966854,78367515.0,409381.0,0.6059127366049921,1.2904825491962513,1.0,1.0,0.05,0.1477348100355643,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
34,5,51.70991197237875,44492004.0,409381.0,0.17409819535598656,1.0771509314314625,1.0,1.0,0.05,0.14772393687113708,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
35,13,51.709912042113494,22686215.0,409381.0,0.5922923646424935,1.3579637008456085,1.0,1.0,0.05,0.1477388661857091,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
36,17,51.709913850468254,17210585.0,409381.0,0.09881647513820796,2.5132647963939307,1.0,1.0,0.05,0.14768974495684895,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
37,4,,86642893.0,409381.0,0.8937910148633379,2.9056946738786658,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
38,8,,38716733.0,409381.0,0.6908709691602685,5.158434121887376,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
39,9,,42773875.0,409381.0,0.3215892240476891,6.003389732891023,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
40,10,,50588454.0,409381.0,0.9299807045301864,6.18018761995146,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
41,16,,88930149.0,409381.0,0.7347914487422352,2.5741585365431376,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
42,18,,45410338.0,409381.0,0.9521515493551156,3.206776235644348,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
43,20,,90311160.0,409381.0,0.6925623484354615,3.991346943100904,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
44,22,,1872695.0,409381.0,0.3645194989509143,4.815021691880679,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
45,39,,99416046.0,409381.0,0.7726373989717273,3.2377649261673813,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
46,41,,7708705.0,409381.0,0.7618778483134103,2.0487289078853483,1.0,1.0,inf,inf,,,LearningParams_Fit_alpha-beta_Fix_exp-lossave_
