,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,xopt_alpha,xopt_beta,xopt_exp,model
0,14.0,115.13995852892744,80772911.0,100105.0,0.3684573813378061,0.4694941424367348,1.0,1.0271534345269535,0.0023581027556102852,,LearningParams_Fit_alpha-beta_Fix_exp_
1,18.0,115.13995854611406,80424093.0,100105.0,0.3916595312262983,0.9624041019164996,1.0,1.0271008042948957,0.002358396553537177,,LearningParams_Fit_alpha-beta_Fix_exp_
2,0.0,117.14187362463093,62534835.0,100105.0,0.6087038771483709,1.9779726719129247,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
3,24.0,117.14187362463093,77176030.0,100105.0,0.4031830800069611,2.9328912474525777,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
4,27.0,117.14187362463093,17480095.0,100105.0,0.5368526983138293,1.1839071572379296,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
5,29.0,117.14187362463093,41323834.0,100105.0,0.7864313739386579,0.4391647759474045,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
6,30.0,117.14187362463093,52477446.0,100105.0,0.18239169775073094,2.267744663357252,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
7,31.0,117.14187362463093,4410619.0,100105.0,0.01893200120690678,1.8229731903893096,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
8,23.0,117.14187362463093,22612283.0,100105.0,0.4550669106543191,0.6718650294227156,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
9,32.0,117.14187362463093,39217838.0,100105.0,0.5721999896352212,1.5015408643362198,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
10,35.0,117.14187362463093,39117053.0,100105.0,0.7980424543056126,1.284995231363876,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
11,37.0,117.14187362463093,13470340.0,100105.0,0.4810869978612612,0.8380516219026518,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
12,42.0,117.14187362463093,36955765.0,100105.0,0.7963012053996756,0.7250042717093406,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
13,44.0,117.14187362463093,64297447.0,100105.0,0.2029555166948559,0.8474039455157486,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
14,45.0,117.14187362463093,2681656.0,100105.0,0.08776792068843421,1.36625635300688,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
15,46.0,117.14187362463093,92781458.0,100105.0,0.31011473822744706,2.0644616809462515,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
16,47.0,117.14187362463093,37413746.0,100105.0,0.33321974727435066,4.039535879445972,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
17,34.0,117.14187362463093,34664074.0,100105.0,0.25859457573851097,1.1825589083534458,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
18,22.0,117.14187362463093,64978621.0,100105.0,0.5022684864462952,0.6361152176531599,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
19,21.0,117.14187362463093,51848014.0,100105.0,0.7886872721979062,0.5066356430692713,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
20,20.0,117.14187362463093,64599941.0,100105.0,0.5826977660234616,0.22257315377592352,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
21,2.0,117.14187362463093,68800881.0,100105.0,0.11359142434383805,5.008174722744488,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
22,3.0,117.14187362463093,18380417.0,100105.0,0.5130131488659886,1.0451599299947287,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
23,4.0,117.14187362463093,61785273.0,100105.0,0.7591492740705896,1.6790055655411356,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
24,5.0,117.14187362463093,50436077.0,100105.0,0.4497692833130633,2.048259405839528,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
25,6.0,117.14187362463093,90695997.0,100105.0,0.08993915651901338,0.8034954240766788,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
26,7.0,117.14187362463093,6684206.0,100105.0,0.4642444712736277,2.939413936334829,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
27,48.0,117.14187362463093,98036115.0,100105.0,0.3673335813622745,1.1481879639670505,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
28,9.0,117.14187362463093,54507860.0,100105.0,0.3256919329515814,2.4170350589730307,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
29,11.0,117.14187362463093,39738890.0,100105.0,0.5706226740286419,1.4122647932098165,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
30,12.0,117.14187362463093,82487502.0,100105.0,0.2793141701379965,2.9217863316201265,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
31,13.0,117.14187362463093,3715277.0,100105.0,0.5005357695694056,2.394753192717905,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
32,16.0,117.14187362463093,91371304.0,100105.0,0.10323418676844014,1.555435107927539,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
33,17.0,117.14187362463093,92096934.0,100105.0,0.05154257133716905,2.887540213744044,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
34,19.0,117.14187362463093,50734318.0,100105.0,0.30822907545259465,3.6239064298903436,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
35,10.0,117.14187362463093,52163907.0,100105.0,0.7148711290845182,0.8568208804857451,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
36,49.0,117.14187362463093,95992699.0,100105.0,0.16761671901597258,6.68157232671228,1.0,0.05,0.0,,LearningParams_Fit_alpha-beta_Fix_exp_
