,Unnamed: 0,neglogprob,sub_id,x0_alpha_neg,x0_alpha_pos,x0_beta,x0_exp_neg,x0_exp_pos,xopt_alpha_neg,xopt_alpha_pos,xopt_beta,xopt_exp_neg,xopt_exp_pos,model
0,4,13.449157224863429,100215.0,0.22335322811026725,0.05,1.0,0.5,0.986776580080198,0.0335003562624292,,,,1.050600984444081,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
1,33,13.449157224863436,100215.0,0.28350925887804057,0.05,1.0,0.5,0.8513597374353986,0.03350031839544233,,,,1.0506007870028895,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
2,8,13.449157224863455,100215.0,0.5436810169654313,0.05,1.0,0.5,0.2668176775714049,0.03350029113513288,,,,1.0506009114451806,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
3,20,13.449157224863455,100215.0,0.030115902933483433,0.05,1.0,0.5,0.5407866284990414,0.03350033151120516,,,,1.050601252495698,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
4,30,13.449157224863491,100215.0,0.44695160227049135,0.05,1.0,0.5,0.09113323429867404,0.03350030401123488,,,,1.0506011250315843,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
5,17,13.4491572248635,100215.0,0.7467020446309988,0.05,1.0,0.5,0.2406846593725186,0.03350030211813824,,,,1.0506007408156743,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
6,25,13.449157224863518,100215.0,0.4885586007346292,0.05,1.0,0.5,0.02575192708200613,0.03350031098465928,,,,1.050601188636252,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
7,26,13.44915722486352,100215.0,0.5840712946993895,0.05,1.0,0.5,0.4364802550260246,0.03350033772619908,,,,1.0506013064985795,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
8,16,13.449157224863534,100215.0,0.12983673232380075,0.05,1.0,0.5,0.9347003861011636,0.0335003618686104,,,,1.05060096062217,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
9,11,13.449157224863534,100215.0,0.5494793212994755,0.05,1.0,0.5,0.07489950549343227,0.03350033560648655,,,,1.05060130780185,LearningParams_Fit_alpha_neg-exp_pos_Fix_alpha_pos-beta-exp_neg_
