"label","question"
"record_id","Record.ID"
"id","Subject.ID"
"operator","Scanner.Operator"
"calc_age","Age"
"scout___1","Sequence..choice.AAH.Scout."
"t1___1","Sequence..choice.T1."
"field_map___1","Sequence..choice.Field.Map."
"run1___1","Sequence..choice.Functional.Run.1."
"run2___1","Sequence..choice.Functional.Run.2."
"run3___1","Sequence..choice.Functional.Run.3."
"run4___1","Sequence..choice.Functional.Run.4."
"run5___1","Sequence..choice.Functional.Run.5."
"run6___1","Sequence..choice.Functional.Run.6."
"t2___1","Sequence..choice.T2."
"vocab_raw","Vocabulary.Raw.Score"
"mr_raw","Matrix.Reasoning.Raw.Score"
"fsiq2","FSIQ.2.Score"
"session_notes","General.Session.Notes"
"session_details_complete","Complete."
"subj_id","Subject.ID.1"
"calculated_age","Our.system.will.record.your.age..in.years..as."
"age","Your.rounded.age..in.years..is."
"race","What.is.your.race."
"ethnicity","What.is.your.ethnicity."
"gender","What.is.your.gender."
"bisbas1","I.do.not.become.fearful.or.nervous..even.when.something.bad.happens.to.me."
"bisbas2","I.do.everything.to.get.the.things.I.want."
"bisbas3","When.I.am.doing.well.at.something..I.like.to.keep.doing.it."
"bisbas4","I.m.always.willing.to.try.something.new.if.I.think.it.will.be.fun."
"bisbas5","When.I.get.something.I.want..I.feel.excited.and.full.of.energy."
"bisbas6","I.am.hurt.when.people.scold.me.or.tell.me.that.I.m.doing.something.wrong."
"bisbas7","When.I.want.something..I.usually.go.all.out.to.get.it."
"bisbas8","I.often.do.things.for.no.other.reason.than.that.they.might.be.fun."
"bisbas9","When.I.see.a.chance.to.get.something.I.want..I.go.for.it.right.away."
"bisbas10","I.feel.pretty.upset.when.I.think.that.someone.is.angry.at.me."
"bisbas11","I.get.really.excited.when.I.see.an.opportunity.to.get.something.I.like."
"bisbas12","I.often.do.things.on.the.spur.of.the.moment."
"bisbas13","I.usually.get.very.tense.when.I.think.something.unpleasant.is.going.to.happen."
"bisbas14","I.am.thrilled.when.good.things.happen.to.me."
"bisbas15","I.feel.worried.when.I.think.I.have.done.poorly.at.something."
"bisbas16","I.crave.excitement.and.new.sensations."
"bisbas17","Nobody.can.stop.me.when.I.want.something."
"bisbas18","I.am.very.fearful.compared.to.my.friends."
"bisbas19","It.would.excite.me.to.win.a.contest."
"bisbas20","I.worry.about.making.mistakes."
"eisy1","Do.you.sometimes.get.so.restless.that.you.cannot.sit.in.a.chair.long."
"eisy2","Do.you.often.long.for.excitement."
"eisy3","Do.you.save.regularly."
"eisy4","Do.you.often.buy.things.on.impulse."
"eisy5","Do.you.generally.do.and.say.things.without.stopping.to.think."
"eisy6","Do.you.often.get.into.a.jam.because.you.do.things.without.thinking."
"eisy7","Would.you.enjoy.gambling."
"eisy8","Do.you.usually.work.quickly.without.bothering.to.check.your.answers."
"eisy9","Do.people.you.are.with.have.a.strong.influence.on.your.moods."
"eisy10","Are.you.an.impulsive.person."
"eisy11","Do.you.usually.think.carefully.before.doing.anything."
"eisy12","Do.you.often.do.things.on.the.spur.of.the.moment."
"eisy13","Do.you.often.break.rules.on.the.spur.of.the.moment."
"eisy14","Do.you.mostly.speak.before.thinking.things.out."
"eisy15","Do.you.often.get.involved.in.things.you.later.wish.you.could.get.out.of."
"eisy16","Do.you.get.so..carried.away..by.new.and.exciting.ideas..that.you.never.think.of.possible.snags."
"eisy17","Do.you.get.bored.more.easily.than.most.people..doing.the.same.old.things."
"eisy18","Do.you.think.that.planning.takes.the.fun.out.of.things."
"eisy19","Do.you.need.to.use.a.lot.of.self.control.to.keep.out.of.trouble."
"eisy20","Are.you.often.surprised.at.people.s.reactions.to.what.you.do.or.say."
"eisy21","Do.you.get.very.annoyed.if.someone.keeps.you.waiting."
"eisy22","Do.you.get.very.restless.if.you.have.to.stay.around.home.for.any.length.of.time."
"eisy23","Do.you.sometimes.put.down.the.first.answer.that.comes.into.your.head.during.a.test.and.forget.to.check.it.later."
"eisa1","Do.you.often.long.for.excitement..1"
"eisa2","Do.you.feel.at.your.best.after.taking.a.couple.of.drinks."
"eisa3","Do.you.save.regularly..1"
"eisa4","Do.you.often.buy.things.on.impulse..1"
"eisa5","Do.you.generally.do.and.say.things.without.stopping.to.think..1"
"eisa6","Do.you.prefer.quiet.parties.with.good.conversations.to..wild..uninhibited.ones."
"eisa7","Do.you.often.get.into.a.jam.because.you.do.things.without.thinking..1"
"eisa8","Would.you.often.like.to.get.high..drinking.liquor.or.smoking.marijuana.."
"eisa10","Do.you.usually.think.carefully.before.doing.anything..1"
"eisa11","Do.you.often.do.things.on.the.spur.of.the.moment..1"
"eisa12","Do.you.often.enjoy.breaking.rules.you.consider.unreasonable."
"eisa13","Are.you.rather.cautious.in.unusual.situations."
"eisa14","Do.you.mostly.speak.before.thinking.things.out..1"
"eisa15","Do.you.often.get.involved.in.things.you.later.wish.you.could.get.out.of..1"
"eisa16","Do.you.get.so..carried.away..by.new.and.exciting.ideas..that.you.never.think.of.possible.snags..."
"eisa17","Do.you.get.bored.more.easily.than.most.people..doing.the.same.old.things..1"
"eisa18","Would.you.agree.that.planning.things.takes.the.fun.out.of.life."
"eisa19","Do.you.need.to.use.a.lot.of.self.control.to.keep.out.of.trouble..1"
"eisa20","Would.you.agree.that.almost.everything.enjoyable.is.illegal.or.immoral."
"eisa21","Are.you.often.surprised.at.people.s.reactions.to.what.you.do.or.say..1"
"eisa22","Do.you.get.extremely.impatient.if.you.are.kept.waiting.by.someone.who.is.late."
"eisa23","Do.you.think.an.evening.out.is.more.successful.if.it.is.unplanned.or.arranged.at.the.last.moment."
"eisa24","Do.you.get.very.restless.if.you.have.to.stay.around.home.for.any.length.of.time..1"
"career1","Trying.using.drugs.other.than.alcohol.or.marijuana"
"career2","Missing.class.or.work"
"career3","Grabbing..pushing..or.shoving.someone"
"career4","Leaving.a.social.event.with.someone.I.have.just.met"
"career5","Driving.after.drinking.alcohol"
"career6","Making.a.scene.in.public"
"career7","Drinking.more.than.5.alcoholic.beverages"
"career8","Not.studying.for.an.exam.or.quiz"
"career9","Drinking.alcohol.too.quickly"
"career10","Disturbing.the.peace"
"career11","Damaging.destroying.public.property"
"career12","Sex.without.protection.against.pregnancy"
"career13","Leaving.tasks.or.assignments.for.the.last.minute"
"career14","Hitting.someone.with.a.weapon.or.object"
"career15","Rock.or.mountain.climbing"
"career16","Sex.without.protection.against.sexually.transmitted.diseases"
"career17","Playing.non.contact.team.sports"
"career18","Failing.to.do.assignments"
"career19","Slapping.someone"
"career20","Not.studying.or.working.hard.enough"
"career21","Punching.or.hitting.someone.with.fist"
"career22","Smoking.marijuana"
"career23","Sex.with.a.variety.of.partners"
"career24","Snow.or.water.skiing"
"career25","Mixing.drugs.and.alcohol"
